,subject,breed,age,sex,condition,side_fakedog,side_chair,blocking.sum,non.off.manipulation.sum,dom.beh.sum,interaction.dog.sum,sniffing.dog.sum,sniff.dog.anal.sum,friendly_beh_humans.sum,blocking.presence,non.off.manipulation.presence,dom.beh.presence,interaction.dog.presence,sniffing.dog.presence,sniff_dog_anal_presence,friendly_beh_humans.presence,first_approach,first_approach_dog,human,treatment
1,Aeden,Border_Collie,138,male,SM,left,left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,S,M
2,Akin,Rhodesian_Ridgeback,126,male,CM,left,left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,C,M
3,Akina,Akita_Inu,133,female,SM,left,left,0,0,1,0,4,1,0,0,0,1,0,1,1,0,fake_dog,1,S,M
4,Ame,Akita_Inu,42,male,CP,right,left,0,0,0,0,11,3,0,0,0,0,0,1,1,0,fake_dog,1,C,P
5,Amie,mixbreed,18,female,CP,right,right,5,8,0,1,14,2,1,1,1,0,1,1,1,1,fake_dog,1,C,P
6,Amy8,Border_Collie,114,female,CM,left,right,1,0,0,0,2,0,0,1,0,0,0,1,0,0,human,0,C,M
7,Anouk3,Labrador_Retriever,41,female,SP,right,left,6,3,0,7,14,4,2,1,1,0,1,1,1,1,human,0,S,P
8,Apryl,Border_Collie,127,female,CM,left,left,3,0,0,0,3,1,5,1,0,0,0,1,1,1,human,0,C,M
9,Arielle,Border_Collie,53,female,SP,right,left,0,0,0,0,1,1,0,0,0,0,0,1,1,0,fake_dog,1,S,P
10,Arkani2,Belgian_Tervuren,64,male,CM,left,left,0,6,2,0,17,8,1,0,1,1,0,1,1,1,human,0,C,M
11,Baerbel,mixbreed,60,female,SM,right,left,0,0,1,0,7,0,0,0,0,1,0,1,0,0,human,0,S,M
12,Bailey2,Stafforshire_Bullterrier,65,female,SP,left,left,8,0,0,4,22,2,8,1,0,0,1,1,1,1,fake_dog,1,S,P
13,Balian,Border_Collie,115,male,SP,left,left,0,0,1,1,10,2,0,0,0,1,1,1,1,0,fake_dog,1,S,P
14,Barbarix2,Bearded_Collie,78,male,CM,left,right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,C,M
15,Batman,Jack_Russel_Terrier,142,male,SP,right,left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,S,P
